,,,,,,,,,
Ángulo del crista,Intensidad Imp/s ,,,,,,,,
theta/°,Tasa con 13kV,Tasa con 15kV,Tasa con 17kV,Tasa con 19kV,Tasa con 21kV,Tasa con 23kV,Tasa con 25kV,Tasa con 27kV,Tasa con 29kV
17.8,67,112,172,213,283,359,445,526,623
17.9,59,104,165,207,281,360,444,554,608
18,76,116,172,243,326,381,462,550,634
18.1,74,121,175,240,346,425,502,590,746
18.2,74,146,209,320,394,503,643,718,858
18.3,118,215,329,489,603,725,863,1084,1251
18.4,652,1284,1949,2624,3261,3977,4772,5641,6381
18.5,973,1815,2798,3737,4890,6132,7128,7917,8605
18.6,785,1466,2165,3001,3923,4937,6099,6868,7638
18.7,624,1143,1737,2398,3097,3760,4568,5440,6180
18.8,496,933,1454,2027,2614,3250,3937,4554,5311
18.9,102,184,318,436,603,766,951,1145,1339
19,59,108,202,267,370,463,552,675,794
19.1,66,112,167,231,313,376,490,560,628
19.2,62,99,149,201,276,358,397,517,606
19.3,65,102,150,191,260,342,410,497,570
19.4,65,89,138,185,244,325,378,487,541
19.5,43,101,133,174,249,289,368,417,486
19.6,52,74,133,183,238,299,374,457,527
19.7,53,77,123,185,232,284,336,415,490
19.8,61,81,131,177,227,285,354,415,482
19.9,52,76,125,144,231,273,338,438,490
20,52,70,130,192,226,293,335,392,469
20.1,54,71,121,171,224,276,331,392,472
20.2,47,75,130,170,212,258,334,402,447
20.3,61,73,130,161,213,265,362,381,457
20.4,51,80,122,174,222,256,336,384,462
20.5,43,81,108,158,238,272,312,395,434
20.6,39,88,120,152,232,257,318,373,434
20.7,44,75,112,164,214,256,310,338,428
20.8,50,69,101,142,195,248,316,372,426
20.9,34,70,115,152,188,244,299,361,424
21,39,66,119,146,220,262,308,352,431
